pais,Covaxin,EpiVacCorona,Johnson&Johnson,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,Sinopharm/Wuhan,Sinovac,Sputnik V
Norway,0,0,0,1,1,1,0,0,0,0
Oman,0,0,0,0,1,1,0,0,0,0
Pakistan,0,0,0,0,1,0,1,0,0,1
Panama,0,0,0,0,0,1,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,1
Peru,0,0,0,0,0,0,1,0,0,0
Philippines,0,0,0,0,0,0,0,0,1,0
Poland,0,0,0,1,1,1,0,0,0,0
Portugal,0,0,0,1,0,1,0,0,0,0
Qatar,0,0,0,0,0,1,0,0,0,0
Romania,0,0,0,1,1,1,0,0,0,0
Russia,0,1,0,0,0,0,0,0,0,1
Rwanda,0,0,0,1,1,1,0,0,0,0
Saint Helena,0,0,0,0,1,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,1,0,0,0,0,0
Saint Lucia,0,0,0,0,1,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,1,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0,1
Saudi Arabia,0,0,0,0,1,1,0,0,0,0
Scotland,0,0,0,0,1,1,0,0,0,0
Senegal,0,0,0,0,0,0,1,0,0,0
Serbia,0,0,0,0,1,1,1,0,0,1
Seychelles,0,0,0,0,1,0,1,0,0,0
Singapore,0,0,0,1,0,1,0,0,0,0
Slovakia,0,0,0,0,0,1,0,0,0,0
Slovenia,0,0,0,0,1,1,0,0,0,0
South Africa,0,0,1,0,0,0,0,0,0,0
South Korea,0,0,0,0,1,1,0,0,0,0
Spain,0,0,0,1,1,1,0,0,0,0
Sri Lanka,0,0,0,0,1,0,0,0,0,0
Suriname,0,0,0,0,1,0,0,0,0,0
Sweden,0,0,0,0,1,1,0,0,0,0
Switzerland,0,0,0,1,0,1,0,0,0,0
Thailand,0,0,0,0,1,0,0,0,1,0
Trinidad and Tobago,0,0,0,0,1,0,0,0,0,0
Tunisia,0,0,0,0,0,1,0,0,0,1
Turkey,0,0,0,0,0,0,0,0,1,0
Turks and Caicos Islands,0,0,0,0,0,1,0,0,0,0
Uganda,0,0,0,0,1,0,0,0,0,0
Ukraine,0,0,0,0,1,0,0,0,0,0
United Arab Emirates,0,0,0,0,1,1,1,1,0,1
United Kingdom,0,0,0,0,1,1,0,0,0,0
United States,0,0,1,1,0,1,0,0,0,0
Uruguay,0,0,0,0,0,1,0,0,1,0
Venezuela,0,0,0,0,0,0,0,0,0,1
Vietnam,0,0,0,0,1,0,0,0,0,0
Wales,0,0,0,0,1,1,0,0,0,0
Zimbabwe,0,0,0,0,0,0,1,0,0,0
